Humidity,Temperature,UnixTime,Hour,Minute,Humidity_Future,Temperature_Future,UnixTime_Future,Hour_Future,Minute_Future
66.0,34.6,1592669944.0,16.0,19.0,89.0,27.9,1592691546.0,22.0,19.0
65.0,34.6,1592669955.0,16.0,19.0,89.0,27.8,1592691556.0,22.0,19.0
65.0,34.6,1592669965.0,16.0,19.0,89.0,27.9,1592691566.0,22.0,19.0
65.0,34.6,1592669976.0,16.0,19.0,89.0,28.1,1592691577.0,22.0,19.0
65.0,34.6,1592669986.0,16.0,19.0,89.0,28.1,1592691587.0,22.0,19.0
65.0,34.6,1592669996.0,16.0,19.0,89.0,28.0,1592691597.0,22.0,19.0
66.0,34.6,1592670007.0,16.0,20.0,89.0,27.9,1592691608.0,22.0,20.0
66.0,34.6,1592670017.0,16.0,20.0,89.0,27.8,1592691618.0,22.0,20.0
66.0,34.6,1592670027.0,16.0,20.0,89.0,27.8,1592691628.0,22.0,20.0
65.0,34.6,1592670038.0,16.0,20.0,89.0,27.8,1592691639.0,22.0,20.0
65.0,34.6,1592670048.0,16.0,20.0,89.0,27.8,1592691649.0,22.0,20.0
65.0,34.6,1592670059.0,16.0,20.0,89.0,28.0,1592691660.0,22.0,21.0
65.0,34.6,1592670069.0,16.0,21.0,89.0,28.2,1592691670.0,22.0,21.0
65.0,34.6,1592670079.0,16.0,21.0,89.0,28.2,1592691680.0,22.0,21.0
65.0,34.6,1592670090.0,16.0,21.0,89.0,28.2,1592691691.0,22.0,21.0
65.0,34.6,1592670100.0,16.0,21.0,89.0,28.2,1592691701.0,22.0,21.0
65.0,34.6,1592670110.0,16.0,21.0,89.0,28.5,1592691711.0,22.0,21.0
66.0,34.6,1592670121.0,16.0,22.0,89.0,28.5,1592691722.0,22.0,22.0
66.0,34.6,1592670131.0,16.0,22.0,89.0,28.4,1592691732.0,22.0,22.0
66.0,34.6,1592670142.0,16.0,22.0,89.0,28.2,1592691742.0,22.0,22.0
66.0,34.6,1592670152.0,16.0,22.0,89.0,28.2,1592691753.0,22.0,22.0
66.0,34.4,1592670162.0,16.0,22.0,89.0,28.2,1592691763.0,22.0,22.0
66.0,34.3,1592670173.0,16.0,22.0,89.0,28.5,1592691773.0,22.0,22.0
66.0,34.2,1592670183.0,16.0,23.0,88.0,28.5,1592691784.0,22.0,23.0
66.0,34.3,1592670194.0,16.0,23.0,88.0,28.5,1592691794.0,22.0,23.0
66.0,34.6,1592670204.0,16.0,23.0,88.0,28.5,1592691804.0,22.0,23.0
66.0,34.3,1592670214.0,16.0,23.0,88.0,28.3,1592691815.0,22.0,23.0
66.0,34.2,1592670225.0,16.0,23.0,88.0,28.2,1592691825.0,22.0,23.0
66.0,34.2,1592670235.0,16.0,23.0,89.0,28.2,1592691836.0,22.0,23.0
66.0,34.2,1592670246.0,16.0,24.0,89.0,28.2,1592691846.0,22.0,24.0
66.0,34.3,1592670256.0,16.0,24.0,89.0,28.2,1592691856.0,22.0,24.0
66.0,34.6,1592670267.0,16.0,24.0,89.0,28.5,1592691867.0,22.0,24.0
66.0,34.6,1592670277.0,16.0,24.0,89.0,28.5,1592691877.0,22.0,24.0
66.0,34.6,1592670287.0,16.0,24.0,89.0,28.5,1592691887.0,22.0,24.0
66.0,34.6,1592670298.0,16.0,24.0,89.0,28.5,1592691898.0,22.0,24.0
66.0,34.6,1592670308.0,16.0,25.0,89.0,28.4,1592691908.0,22.0,25.0
66.0,34.6,1592670318.0,16.0,25.0,89.0,28.2,1592691918.0,22.0,25.0
66.0,34.6,1592670329.0,16.0,25.0,89.0,28.2,1592691929.0,22.0,25.0
66.0,34.6,1592670339.0,16.0,25.0,89.0,28.3,1592691939.0,22.0,25.0
66.0,34.6,1592670349.0,16.0,25.0,89.0,28.3,1592691951.0,22.0,25.0
66.0,34.6,1592670360.0,16.0,26.0,88.0,28.5,1592691961.0,22.0,26.0
66.0,34.6,1592670370.0,16.0,26.0,88.0,28.3,1592691972.0,22.0,26.0
66.0,34.6,1592670382.0,16.0,26.0,88.0,28.4,1592691982.0,22.0,26.0
66.0,34.6,1592670392.0,16.0,26.0,88.0,28.5,1592691992.0,22.0,26.0
66.0,34.6,1592670403.0,16.0,26.0,88.0,28.5,1592692003.0,22.0,26.0
66.0,34.6,1592670413.0,16.0,26.0,88.0,28.5,1592692013.0,22.0,26.0
66.0,34.5,1592670424.0,16.0,27.0,88.0,28.5,1592692023.0,22.0,27.0
66.0,34.6,1592670434.0,16.0,27.0,88.0,28.5,1592692034.0,22.0,27.0
66.0,34.4,1592670444.0,16.0,27.0,88.0,28.5,1592692044.0,22.0,27.0
66.0,34.4,1592670455.0,16.0,27.0,88.0,28.5,1592692055.0,22.0,27.0
66.0,34.4,1592670465.0,16.0,27.0,88.0,28.5,1592692065.0,22.0,27.0
66.0,34.6,1592670475.0,16.0,27.0,88.0,28.5,1592692076.0,22.0,27.0
66.0,34.6,1592670486.0,16.0,28.0,88.0,28.2,1592692086.0,22.0,28.0
66.0,34.6,1592670496.0,16.0,28.0,88.0,28.2,1592692096.0,22.0,28.0
66.0,34.2,1592670507.0,16.0,28.0,88.0,28.2,1592692107.0,22.0,28.0
66.0,34.2,1592670517.0,16.0,28.0,88.0,28.2,1592692117.0,22.0,28.0
66.0,34.2,1592670528.0,16.0,28.0,88.0,28.2,1592692127.0,22.0,28.0
66.0,34.2,1592670538.0,16.0,28.0,88.0,28.2,1592692138.0,22.0,28.0
66.0,34.2,1592670549.0,16.0,29.0,88.0,27.8,1592692148.0,22.0,29.0
66.0,34.5,1592670559.0,16.0,29.0,88.0,27.9,1592692158.0,22.0,29.0
66.0,34.0,1592670569.0,16.0,29.0,88.0,27.8,1592692169.0,22.0,29.0
