Humidity,Temperature,Hour,Minute,Humidity_Future,Temperature_Future,Hour_Future,Minute_Future
66.0,34.6,16.0,26.0,88.0,28.4,22.0,26.0
66.0,34.6,16.0,26.0,88.0,28.5,22.0,26.0
66.0,34.6,16.0,26.0,88.0,28.5,22.0,26.0
66.0,34.6,16.0,26.0,88.0,28.5,22.0,26.0
66.0,34.5,16.0,27.0,88.0,28.5,22.0,27.0
66.0,34.6,16.0,27.0,88.0,28.5,22.0,27.0
66.0,34.4,16.0,27.0,88.0,28.5,22.0,27.0
66.0,34.4,16.0,27.0,88.0,28.5,22.0,27.0
66.0,34.4,16.0,27.0,88.0,28.5,22.0,27.0
66.0,34.6,16.0,27.0,88.0,28.5,22.0,27.0
66.0,34.6,16.0,28.0,88.0,28.2,22.0,28.0
66.0,34.6,16.0,28.0,88.0,28.2,22.0,28.0
66.0,34.2,16.0,28.0,88.0,28.2,22.0,28.0
66.0,34.2,16.0,28.0,88.0,28.2,22.0,28.0
66.0,34.2,16.0,28.0,88.0,28.2,22.0,28.0
66.0,34.2,16.0,28.0,88.0,28.2,22.0,28.0
66.0,34.2,16.0,29.0,88.0,27.8,22.0,29.0
66.0,34.5,16.0,29.0,88.0,27.9,22.0,29.0
66.0,34.0,16.0,29.0,88.0,27.8,22.0,29.0
66.0,34.0,16.0,29.0,88.0,27.8,22.0,29.0
66.0,34.0,16.0,29.0,89.0,27.8,22.0,29.0
66.0,33.7,16.0,30.0,89.0,27.8,22.0,30.0
66.0,33.6,16.0,30.0,89.0,27.8,22.0,30.0
66.0,33.9,16.0,30.0,89.0,27.8,22.0,30.0
66.0,33.6,16.0,30.0,89.0,27.8,22.0,30.0
66.0,33.5,16.0,30.0,89.0,27.9,22.0,30.0
66.0,33.5,16.0,30.0,89.0,28.2,22.0,30.0
66.0,33.5,16.0,31.0,89.0,28.2,22.0,31.0
66.0,33.5,16.0,31.0,89.0,28.2,22.0,31.0
66.0,33.5,16.0,31.0,89.0,28.2,22.0,31.0
66.0,33.5,16.0,31.0,89.0,28.2,22.0,31.0
66.0,33.5,16.0,31.0,89.0,28.2,22.0,31.0
66.0,33.5,16.0,31.0,89.0,28.2,22.0,31.0
66.0,33.5,16.0,32.0,88.0,28.2,22.0,32.0
66.0,33.5,16.0,32.0,89.0,28.2,22.0,32.0
66.0,33.5,16.0,32.0,89.0,28.2,22.0,32.0
66.0,33.5,16.0,32.0,89.0,28.2,22.0,32.0
66.0,33.5,16.0,32.0,89.0,27.9,22.0,32.0
66.0,33.5,16.0,32.0,89.0,27.8,22.0,32.0
66.0,33.5,16.0,33.0,88.0,28.2,22.0,33.0
66.0,33.7,16.0,33.0,88.0,28.2,22.0,33.0
66.0,33.5,16.0,33.0,88.0,28.0,22.0,33.0
66.0,33.6,16.0,33.0,88.0,27.8,22.0,33.0
66.0,33.5,16.0,33.0,88.0,27.8,22.0,33.0
66.0,33.5,16.0,34.0,88.0,27.8,22.0,33.0
66.0,33.8,16.0,34.0,88.0,27.8,22.0,34.0
66.0,33.9,16.0,34.0,88.0,27.8,22.0,34.0
66.0,33.9,16.0,34.0,88.0,27.8,22.0,34.0
66.0,33.9,16.0,34.0,88.0,27.8,22.0,34.0
66.0,33.9,16.0,34.0,88.0,27.8,22.0,34.0
66.0,33.9,16.0,35.0,88.0,28.0,22.0,35.0
66.0,33.6,16.0,35.0,88.0,28.2,22.0,35.0
66.0,33.6,16.0,35.0,88.0,28.2,22.0,35.0
66.0,33.6,16.0,35.0,88.0,28.2,22.0,35.0
66.0,33.6,16.0,35.0,88.0,28.2,22.0,35.0
66.0,33.8,16.0,35.0,88.0,28.2,22.0,35.0
66.0,33.9,16.0,36.0,88.0,28.2,22.0,36.0
66.0,33.9,16.0,36.0,88.0,28.2,22.0,36.0
66.0,33.9,16.0,36.0,88.0,28.2,22.0,36.0
66.0,33.9,16.0,36.0,89.0,28.2,22.0,36.0
66.0,33.9,16.0,36.0,89.0,28.1,22.0,36.0
66.0,33.9,16.0,36.0,89.0,27.8,22.0,36.0
66.0,33.9,16.0,37.0,89.0,28.0,22.0,37.0
66.0,33.9,16.0,37.0,89.0,28.2,22.0,37.0
