,Humidity,Temperature,UnixTime
-MAG4Ex0OMPTwXagFIE8,66.00,33.60,1592670915
-MAG4HTbWw-FSdv43Xoi,66.00,33.60,1592670925
-MAG4K-ceqmyWnhX2zX3,66.00,33.60,1592670936
-MAG4MWTnamcG4sy444r,66.00,33.60,1592670946
-MAG4P2N0BKtqivuz5FT,66.00,33.80,1592670956
-MAG4R_oGGOrJGDV4W6p,66.00,33.90,1592670967
-MAG4U7Ow1drTNGz5sEj,66.00,33.90,1592670977
-MAG4WdpE0pne3cs3sCC,66.00,33.90,1592670988
-MAG4ZC4u13HpFugDApc,66.00,33.90,1592670998
-MAG4aht8qqyDQVc4sMh,66.00,33.90,1592671008
-MAG4dF8qD-cmSLJFHhi,66.00,33.90,1592671019
-MAG4fln3SSyJl4KIz5y,66.00,33.90,1592671029
-MAG4iINSaD4oyETbjYS,66.00,33.90,1592671039
-MAG4kp4byN1XqD63QJl,66.00,33.90,1592671050
-MAG4nLeKIEcDxC73VnN,66.00,33.90,1592671060
-MAG4prQyW7DyxkTXg22,66.00,33.90,1592671070
-MAG4sOmGKVPlFsZZyRo,66.00,33.90,1592671081
-MAG4v0wfr3ivr1ZY3ch,66.00,33.90,1592671091
-MAG4xYRGUkEr9-rVUCs,66.00,33.90,1592671102
-MAG5-41WMQ7Jdet0MbT,66.00,33.90,1592671112
-MAG51aY7PWbmixKWQqb,66.00,33.90,1592671123
-MAG546GtqZaFBvZVpu-,66.00,33.90,1592671133
-MAG56c9IvGansD_mbC_,66.00,33.90,1592671143
-MAG59BpLf_LKpBZuPA6,66.00,33.90,1592671154
-MAG5BilodAeqPSCMS93,66.00,33.90,1592671164
-MAG5EFCt1BFFdzeqFrU,66.00,33.90,1592671174
-MAG5Gu2hzFF2Y1grkMQ,66.00,33.90,1592671185
-MAG5JQS3EbXMOVkyAmZ,66.00,33.90,1592671196
-MAG5Lx0xAd7zV2__SWv,66.00,33.70,1592671206
-MAG5OTdRD6rsmGI2CHr,66.00,33.50,1592671216
-MAG5R-bruL6tVIRgq5F,66.00,33.50,1592671227
-MAG5TWtLkxuXP3kpzlg,66.00,33.50,1592671237
-MAG5W3bCccVBWNEyRtl,66.00,33.50,1592671247
-MAG5YaYhl2cdYK3Lw1S,66.00,33.50,1592671258
-MAG5a79w1d8WOLudX2s,66.00,33.50,1592671268
-MAG5ce0qzfPi6cfGiYo,66.00,33.50,1592671279
-MAG5fCCmph9TO5bj59F,66.00,33.50,1592671289
-MAG5hjqNhT-_s9rY4Xm,66.00,33.50,1592671299
-MAG5kGD8bIDx7vGbqLG,66.00,33.50,1592671310
-MAG5mmKVxoGFO3AlDEg,66.00,33.50,1592671320
-MAG5pLFOwKL_KRVf3ug,66.00,33.50,1592671330
-MAG5rsCVnAuVnk6o7Gk,66.00,33.50,1592671341
-MAG5uOms0TI_McY8igW,66.00,33.50,1592671351
-MAG5wvShXlVOWNIlzat,66.00,33.50,1592671362
-MAG5zSOgZxMBlxbO9Vy,66.00,33.50,1592671372
-MAG60y_aHRE-hk8YYNF,66.00,33.50,1592671382
-MAG63VAW5fTm6sQfS3P,66.00,33.50,1592671393
-MAG660s1ZoBwlXDPoHU,66.00,33.50,1592671403
-MAG68YaEv3iADiEPBXn,66.00,33.50,1592671413
-MAG6B4BFzB5mPofG8h4,66.00,33.50,1592671424
-MAG6DaZaOo6tIk-jATD,66.00,33.50,1592671434
-MAG6GNJrwgRgaj0dfZj,66.00,33.50,1592671444
-MAG6ItwjuN2ESUiUAM2,66.00,33.50,1592671456
-MAG6LSA8SocqiLMWP23,66.00,33.20,1592671466
-MAG6NydCSieJtlHYedV,66.00,33.50,1592671477
-MAG6QVtmb17AwrVVP3A,66.00,33.50,1592671487
-MAG6T0jmWDCjloPUELr,66.00,33.50,1592671497
-MAG6VYbfdjljqEeNdPL,66.00,33.50,1592671508
-MAG6Y4elZd_N-mfklMI,66.00,33.50,1592671518
-MAG6_aagmj41dg3kaym,66.00,33.50,1592671528
-MAG6c750R2CZHw91AzX,67.00,33.50,1592671539
-MAG6edhWPRvEb_k-LcB,65.00,33.50,1592671549
-MAG6h9PEhXvixqmFvsq,65.00,33.50,1592671559
-MAG6jfFHsMROz3ibbt4,65.00,33.50,1592671570
-MAG6mBq8rjxD57jeB-F,65.00,33.50,1592671580
-MAG6ohVyJRoAH0-Q4fF,65.00,33.50,1592671590
